,FIPS,Pop2010,LAPOP05_10,TractWhite,TractBlack,TractAsian,TractAIAN,TractHispanic,lawhite,lablack,laaian,laasian,lahisp,total_est,aian_est,asian_est,black_est,hisp_est,nhwhite_est,Fast Food,Restaurant,Grocery,Convenience,Market,metric,white_metric,black_metric,aian_metric,asian_metric,hisp_metric,AREA,la
201,06033,64665,10682.0,52033.0,1232.0,724.0,2049.0,11088.0,0.15465185555320662,0.21103896103896105,0.2223756906077348,0.2025378233284529,0.19426406926406928,19.096296,24.003128,7.737226,42.664673,25.96052,17.131649,33,46,24,31,7.0,1.1707775586020366,1.3777326037693824,0.6060240821576939,3.5212567378067923,1.9514682303965736,1.235189551544875,3254.22,0.16518982448001238
202,06035,34895,13508.0,25532.0,2834.0,356.0,1234.0,6117.0,0.4278160739464202,0.21100917431192662,0.36797752808988765,0.5332252836304701,0.25927742357364725,14.215424,53.788685,36.708862,61.935486,12.930578,10.424479,15,11,7,14,1.0,1.1038816256305817,4.616181351943973,1.5538428606921684,4.571889075090439,1.383131619168689,0.5421929904147624,11761.61,0.3871041696518126
203,06037,9818605,3616489.0,4936599.0,856874.0,1346865.0,72828.0,4687889.0,0.38792354817557595,0.39252562220349785,0.35418174798513585,0.3375487449881914,0.33809162290318734,15.706801,18.078733,11.040614,20.359478,20.668821,8.6163359,8264,8113,1980,1964,124.0,1.1666497773516424,1.4142609035316291,0.873929981104253,1.454146683982881,1.4069141681626298,0.5874520622900901,10509.87,0.36833022613701233
204,06039,150865,46173.0,94456.0,5629.0,2802.0,4136.0,80992.0,0.27240196493605484,0.27642565286907084,0.3897216274089936,0.269825918762089,0.3864579217700514,19.29483,20.91954,11.306533,22.249861,26.922232,9.5121822,78,52,38,56,8.0,1.4874269699411418,1.4353488513519972,0.7872322879130772,2.1841220791082625,1.8297418712888496,0.9259285470545379,5534.99,0.3060550823583999
205,06041,252409,111892.0,201963.0,6987.0,13761.0,1523.0,39069.0,0.45454860543762965,0.5421497065979676,0.46210304483685777,0.39658568614576495,0.3093501241393432,6.9649882,17.522123,7.7142229,23.997028,13.350709,5.1159105,189,313,70,42,15.0,0.8562642048115475,2.2088196545169274,1.1598574445865346,3.0753141900981076,1.4683668421126852,0.43890086477999546,1347.6,0.4432963959288298
206,06043,18251,1473.0,16103.0,138.0,204.0,527.0,1676.0,0.0833385083524809,0.050724637681159424,0.11274509803921569,0.04743833017077799,0.06801909307875895,12.522596,14.666666,2.8846154,1.010101,23.89641,11.06657,8,13,5,6,1.0,0.27688140541736417,0.3348578343499117,0.04008576818105659,0.031199368876913536,0.31055991109426356,0.2062183044470444,3752.43,0.08070790641608679
207,06045,87841,21846.0,67218.0,622.0,1450.0,4277.0,19505.0,0.2599006218572406,0.24758842443729903,0.2082758620689655,0.18424129062426933,0.2166111253524737,17.059029,33.50132,29.440557,28.841311,24.806541,12.845525,54,111,46,40,8.0,2.221721030546674,4.559632056189787,3.8171297187028697,3.1456796933016515,2.3933914683250106,1.457112815151164,9081.39,0.24869935451554515
208,06047,255793,124410.0,148381.0,9926.0,18836.0,3473.0,140485.0,0.4947331531665105,0.4644368325609511,0.5534614567848801,0.427008350129571,0.4656653735274228,21.821651,29.596773,20.327782,28.471157,26.789495,13.354495,143,91,68,77,5.0,2.821463897624195,3.892562847417068,2.5097872364948492,4.1890231007526815,3.041033132772588,1.6531858235615002,5011.55,0.4863698381112853
209,06049,9686,5485.0,8084.0,82.0,78.0,370.0,1342.0,0.5781791192478971,0.3170731707317073,0.3846153846153846,0.6270270270270271,0.4821162444113264,18.439793,23.765432,0.0,100.0,29.338842,16.48086,3,8,4,2,1.0,4.312248058156828,5.674448293332972,0.0,15.883352658079067,7.597045994497491,3.281309241325151,10146.99,0.566281230642164
210,06051,14202,10328.0,11697.0,47.0,192.0,302.0,3762.0,0.7548944173719757,0.7234042553191489,0.671875,0.8940397350993378,0.5300372142477405,12.011839,17.359051,0.0,0.0,19.004917,8.8171148,21,34,6,11,2.0,3.6904384422075425,5.536227583766545,0.0,0.0,7.1783485256716935,1.974397535401151,7896.83,0.7272215180960429
