Label,Type,Symbol,Description,Name on GPS,Comment,Easting,Northing,Zone,Elevation,Distance to Active Point,Bearing
,,City (Small),,,,697004.767,4887736.510,18T,,0000.0000,0000.0000
,,City (Small),,,,694195.558,4887942.070,18T,,0000.0000,0000.0000
,,City (Small),,,,690081.578,4885087.299,18T,,0000.0000,0000.0000
,,City (Small),,,,696705.775,4888361.251,18T,,0000.0000,0000.0000
,,City (Small),,,,651638.558,4924576.546,18T,,0000.0000,0000.0000
,,City (Small),,,,696707.103,4888316.822,18T,,0000.0000,0000.0000
,,City (Small),,,,696875.739,4887766.001,18T,,0000.0000,0000.0000
,,City (Small),,,,692322.645,4887631.389,18T,,0000.0000,0000.0000
,,City (Small),,,,696214.539,4886034.210,18T,,0000.0000,0000.0000
,,City (Small),,,,696283.135,4888837.790,18T,,0000.0000,0000.0000
,,City (Small),,,,707689.233,4957192.805,18T,,0000.0000,0000.0000
,,City (Small),,,,710869.625,4952280.943,18T,,0000.0000,0000.0000
,,City (Small),,,,707625.057,4956479.064,18T,,0000.0000,0000.0000
,,City (Small),,,,707461.276,4956395.948,18T,,0000.0000,0000.0000
,,City (Small),,,,707477.113,4956396.458,18T,,0000.0000,0000.0000
,,City (Small),,,,722936.959,4956823.980,18T,,0000.0000,0000.0000
,,City (Small),,,,723168.556,4958833.906,18T,,0000.0000,0000.0000
,,City (Small),,,,723230.170,4959114.085,18T,,0000.0000,0000.0000
,,City (Small),,,,720429.218,4963143.614,18T,,0000.0000,0000.0000
,,City (Small),,,,719886.936,4962557.850,18T,,0000.0000,0000.0000
,,City (Small),,,,720504.137,4965114.692,18T,,0000.0000,0000.0000
,,City (Small),,,,723245.231,4959136.851,18T,,0000.0000,0000.0000
,,City (Small),,,,723331.326,4958939.646,18T,,0000.0000,0000.0000
,,City (Small),,,,724035.355,4960799.215,18T,,0000.0000,0000.0000
,,City (Small),,,,722466.486,4963091.453,18T,,0000.0000,0000.0000
,,City (Small),,,,723602.584,4958659.897,18T,,0000.0000,0000.0000
,,City (Small),,,,723192.903,4959046.063,18T,,0000.0000,0000.0000
,,City (Small),,,,723184.987,4959045.788,18T,,0000.0000,0000.0000
,,City (Small),,,,723220.502,4958935.802,18T,,0000.0000,0000.0000
,,City (Small),,,,732165.808,4975881.134,18T,,0000.0000,0000.0000
,,City (Small),,,,732278.360,4975829.600,18T,,0000.0000,0000.0000
,,City (Small),,,,732803.021,4970743.093,18T,,0000.0000,0000.0000
,,City (Small),,,,735526.355,4969841.408,18T,,0000.0000,0000.0000
